爱,ài,愛する
八,bā,八
爸爸,bàba,お父さん
杯子,bēizi,コップ
北京,běijīng,北京
本,běn,ノート
不,bù,ではありません（否定）
不客气,bù kèqì,どういたしまして
菜,cài,料理
茶,chá,お茶
吃,chī,食べる
出租车,chūzū chē,タクシー
打电话,dǎ diànhuà,電話をする
大,dà,大きい
的,de,の
点,diǎn,点、時
电脑,diànnǎo,パソコン
电视,diànshì,テレビ
电影,diànyǐng,映画
东西,dōngxī,事、物
都,dōu,全て
读,dú,読む
对不起,duìbùqǐ,すみません
多,duō,もっと
多少,duōshǎo,どの位
儿子,érzi,息子
二,èr,二つ
饭馆,fànguǎn,レストラン
飞机,fēijī,航空機
分钟,fēnzhōng,分
高兴,gāoxìng,幸せ、嬉しい
个,gè,個
工作,gōngzuò,仕事
狗,gǒu,犬
汉语,hànyǔ,中国語
好,hǎo,良い、とても
喝,hē,飲む
和,hé,と
很,hěn,非常に
后面,hòumiàn,後ろ
回,huí,帰る
会,huì,できる
火车站,huǒchē zhàn,鉄道駅
几,jǐ,どのくらい
家,jiā,家
叫,jiào,呼ぶ
今天,jīntiān,今日
九,jiǔ,九つ
开,kāi,開ける
看,kàn,見る
看见,kànjiàn,見かける
块,kuài,塊
来,lái,来る
老师,lǎo shī,教師
了,le,過去形を表す
冷,lěng,冷たい
里,lǐ,〜の中
零,líng,ゼロ
六,liù,六
妈妈,māmā,お母さん
吗,ma,疑問を表す
买,mǎi,購入する
猫,māo,猫
没,méi,ではない（過去形の否定）
没关系,méiguānxì,気にしないで
米饭,mǐfàn,米
明天,míngtiān,明日
名字,míngzì,名前
哪,nǎ,どの、どんな
哪儿,nǎ'er,どこ
那,nà,その
那儿,nà'er,そこ
呢,ne,疑問を表す表現
能,néng,できる
你,nǐ,あなた
年,nián,年
女儿,nǚ'ér,娘
朋友,péngyǒu,友人
漂亮,piàoliang,美しい
苹果,píngguǒ,リンゴ
七,qī,七
钱,qián,お金
前面,qiánmiàn,前
请,qǐng,してください
去,qù,行く
热,rè,熱い
人,rén,人々
认识,rènshì,知っている
日,rì,日
三,sān,三つ
商店,shāngdiàn,お店
上,shàng,上の
上午,shàngwǔ,朝
少,shǎo,少ない
谁,shéi,誰
什么,shénme,何
十,shí,十
时候,shíhòu,～の時
是,shì,～である
书,shū,本
水,shuǐ,水
水果,shuǐguǒ,果物
睡觉,shuìjiào,寝る
说话,shuōhuà,話す
四,sì,四
岁,suì,歳
他,tā,彼
她,tā,彼女
太,tài,かなり
天气,tiānqì,天気
听,tīng,聞く
同学,tóngxué,同級生
喂,wèi,もしもし
我,wǒ,私
我们,wǒmen,私たち
五,wǔ,五
喜欢,xǐhuān,好き
下,xià,下
下午,xià wǔ,午後
下雨,xià yǔ,雨が降る
先生,xiānshēng,〜さん
现在,xiànzài,今
想,xiǎng,したい
小,xiǎo,小さな
小姐,xiǎojiě,若い女性
些,xiē,一部
写,xiě,書く
谢谢,xièxiè,ありがとう
星期,xīngqí,週
学生,xuéshēng,学生
学习,xuéxí,勉強する
学校,xuéxiào,学校
一,yī,1
衣服,yīfú,服
医生,yīshēng,医者
医院,yīyuàn,病院
椅子,yǐzi,椅子
有,yǒu,持っている
月,yuè,月
在,zài,どこどこで
再见,zàijiàn,さようなら
怎么,zěnme,どのように
怎么样,zěnme yàng,どうですか？
这,zhè,これ
这儿,zhè'er,ここに
中国,zhōngguó,中国
中午,zhōngwǔ,正午
住,zhù,住んでいる
桌子,zhuōzi,机
字,zì,字
昨天,zuótiān,昨日
做,zuò,する
坐,zuò,座る
